Age,Male,Female,Birth_year,Mean_lh
10,12.717558484,12.1980406599,1976,12.45779957195
11,15.3188295861,11.1448043104,1975,13.23181694825
12,14.8082807769,11.5492397993,1974,13.178760288100001
13,13.7937436118,11.2764416943,1973,12.53509265305
14,15.1563041001,11.5729060811,1972,13.3646050906
15,14.0861857328,12.0777308322,1971,13.0819582825
16,14.1489928386,12.057432041,1970,13.1032124398
17,14.5225240193,11.5244420198,1969,13.02348301955
18,14.7270085305,12.1795500237,1968,13.453279277099998
19,15.0693709779,11.8829043905,1967,13.476137684200001
20,15.546783591,11.9706063024,1966,13.7586949467
21,15.3555354891,12.1548989961,1965,13.7552172426
22,13.9310353964,12.8721657246,1964,13.4016005605
23,14.7585845581,11.5399365158,1963,13.149260536949999
24,14.4058586278,11.3314479594,1962,12.868653293600001
25,13.7574129893,11.6767482018,1961,12.717080595550001
26,13.5547399141,10.8658913414,1960,12.21031562775
27,14.2060094656,12.3094022945,1959,13.25770588005
28,14.43338593,11.0565877752,1958,12.7449868526
29,14.2369559537,11.3683533184,1957,12.80265463605
30,14.579011443,11.5930851595,1956,13.086048301249999
31,14.2093021711,11.6819726962,1955,12.945637433649999
32,14.8351569397,11.1043705557,1954,12.9697637477
33,13.868004579,11.1437953358,1953,12.5058999574
34,14.697279617,10.9261770053,1952,12.811728311149999
35,14.4188258601,11.4315458092,1951,12.92518583465
36,14.9324358857,11.2469899609,1950,13.0897129233
37,14.6433782116,11.3674474527,1949,13.00541283215
38,14.087477183,10.8390296785,1948,12.463253430750001
39,14.3007821248,10.868419793,1947,12.5846009589
40,13.9732295686,10.5591038724,1946,12.2661667205
41,13.7742985496,11.643192905,1945,12.708745727299998
42,13.7442264432,10.4945103158,1944,12.1193683795
43,13.4390102813,10.9909446341,1943,12.2149774577
44,13.7696442451,11.3891911064,1942,12.579417675750001
45,13.9991824154,10.079109894,1941,12.0391461547
46,13.5354887414,10.3572887459,1940,11.946388743650001
47,13.4881439299,10.2647174146,1939,11.876430672249999
48,13.1995097898,9.8920729742,1938,11.545791382
49,12.483963995,9.251517039,1937,10.867740517
50,11.8099935257,9.4057733717,1936,10.6078834487
51,11.3980492889,9.5879439468,1935,10.49299661785
52,11.3466922907,8.7009078502,1934,10.023800070450001
53,11.5218212153,8.7539637034,1933,10.137892459349999
54,11.5293773022,8.5090729423,1932,10.019225122249999
55,11.5152680574,8.6751042496,1931,10.0951861535
56,11.0123447297,8.1415249547,1930,9.5769348422
57,11.9092617946,8.0776973315,1929,9.99347956305
58,10.6185404075,7.8105947816,1928,9.21456759455
59,10.1666386123,8.027137099,1927,9.09688785565
60,9.8787318694,7.6533382599,1926,8.76603506465
61,9.8947261547,7.2067443805,1925,8.5507352676
62,9.247996185,7.3960917512,1924,8.322043968100001
63,8.6001095951,6.5613033558,1923,7.5807064754499995
64,8.2907078724,6.744014223,1922,7.5173610477
65,8.562868184,6.9333822861,1921,7.748125235049999
66,8.7697252993,6.7159944592,1920,7.74285987925
67,8.5759555794,6.290775167,1919,7.4333653732
68,8.0743890039,6.5988215179,1918,7.336605260900001
69,8.5416528788,6.283987697,1917,7.412820287900001
70,7.9268315708,5.4930000149,1916,6.7099157928499995
71,8.3659110245,5.7925665864,1915,7.07923880545
72,7.5590465444,6.6043976812,1914,7.0817221128
73,7.4701778483,5.8653905051,1913,6.6677841767
74,7.0813217982,5.2489518963,1912,6.16513684725
75,8.2534782691,5.4434439825,1911,6.8484611258
76,8.7698819174,5.9585909371,1910,7.36423642725
77,5.3970685,5.5936110813,1909,5.49533979065
78,6.9372037708,6.0913585583,1908,6.51428116455
79,4.8859994098,5.4900924123,1907,5.188045911050001
80,6.9393815785,6.0564228166,1906,6.497902197549999
81,7.1881984669,4.7794909812,1905,5.98384472405
82,7.3502038496,4.8748989262,1904,6.1125513879
83,6.4712041885,5.672535617,1903,6.0718699027500005
84,6.5108576166,5.7748814805,1902,6.14286954855
85,7.3379680795,7.0514589044,1901,7.19471349195
86,5.059387305,4.680947958,1900,4.870167631499999
